"Rank","Player","Year","Pos","Team","AAV",""
"","Michael King","2023","RP","NYY","$1,300,000",""
"","Jeff Hoffman","2023","RP","PHI","$1,300,000",""
"","Brett Martin","2023","RP","TEX","$1,275,000",""
"","Yonny Chirinos","2023","RP","TB","$1,275,000",""
"","Lucas Sims","2023","RP","CIN","$1,267,500",""
"","Travis Jankowski","2023","LF","TEX","$1,250,000",""
"","Chasen Shreve","2023","RP","DET","$1,250,000",""
"","Yulieski Gurriel","2023","1B","MIA","$1,250,000",""
"","Erik Swanson","2023","RP","TOR","$1,250,000",""
"","Cam Gallagher","2023","C","CLE","$1,250,000",""
"","Garrett Whitlock","2023","SP","BOS","$4,687,500",""
"","Nick Madrigal","2023","2B","CHC","$1,225,000",""
"","Brusdar Graterol","2023","RP","LAD","$1,225,000",""
"","Reese McGuire","2023","C","BOS","$1,225,000",""
"","Tyler Kinley","2023","RP","COL","$2,083,333",""
"","Jimmy Nelson","2023","RP","LAD","$1,200,000",""
"","Jesse Chavez","2023","RP","ATL","$1,200,000",""
"","Tyler Matzek","2023","RP","ATL","$1,550,000",""
"","Trevor Gott","2023","RP","SEA","$1,200,000",""
"","Aaron Ashby","2023","SP","MIL","$4,100,000",""
"","Rob Refsnyder","2023","RF","BOS","$1,200,000",""
"","Shawn Armstrong","2023","RP","TB","$1,200,000",""
"","Luke Maile","2023","C","CIN","$1,175,000",""
"","Colin Poche","2023","RP","TB","$1,175,000",""
"","Scott Alexander","2023","RP","SF","$1,150,000",""
"","Alex Young","2023","RP","CIN","$1,150,000",""
"","Taylor Clarke","2023","RP","KC","$1,150,000",""
"","Caleb Ferguson","2023","RP","LAD","$1,100,000",""
"","Alexander Reyes","2023","RP","LAD","$1,100,000",""
"","Andrew Knizner","2023","C","STL","$1,100,000",""
"","Jaime Barria","2023","SP","LAA","$1,050,000",""
"","Hoby Milner","2023","RP","MIL","$1,025,000",""
"","Josh Staumont","2023","RP","KC","$1,025,000",""
"","Josh Taylor","2023","RP","KC","$1,025,000",""
"","Nelson Cruz","2023","DH","SD","$1,000,000",""
"","Trey Wingenter","2023","RP","DET","$1,000,000",""
"","Ehire Adrianza","2023","SS","ATL","$1,000,000",""
"","Spencer Strider","2023","SP","ATL","$12,500,000",""
"","Trent Thornton","2023","RP","TOR","$1,000,000",""
"","Derek Law","2023","RP","CIN","$1,000,000",""
"","Daniel Coulombe","2023","RP","BAL","$1,000,000",""
"","Michael Chavis","2023","2B","WSH","$1,000,000",""
"","Justin Wilson","2023","RP","MIL","$1,000,000",""
"","Ildemaro Vargas","2023","2B","WSH","$975,000",""
"","Edmundo Sosa","2023","3B","PHI","$950,000",""
"","Genesis Cabrera","2023","RP","STL","$950,000",""
"","Jose Ruiz","2023","RP","ARI","$925,000",""
"","Victor Arano","2023","RP","WSH","$925,000",""
"","Justin Dunn","2023","SP","CIN","$900,000",""
"","Anthony Bemboom","2023","C","BAL","$900,000",""
"","Nick Anderson","2023","RP","ATL","$875,000",""
"","Hunter Harvey","2023","RP","WSH","$870,000",""
"","Mark Leiter Jr.","2023","RP/CL","CHC","$850,000",""
"","J.T. Chargois","2023","RP","MIA","$850,000",""
"","Jake Brentz","2023","RP","KC","$950,000",""
"","Yu-Cheng Chang","2023","SS","BOS","$850,000",""
"","Griffin Canning","2023","SP","LAA","$850,000",""
"","Cole Sulser","2023","RP","ARI","$825,000",""
"","Adrian Morejon","2023","SP","SD","$800,000",""
"","Rougned Odor","2023","2B","SD","$800,000",""
"","Jorge Alcala","2023","RP","MIN","$790,000",""
"","Codi Heuer","2023","RP","CHC","$785,000",""
"","Peter Lambert","2023","RP","COL","$775,000",""
"","Sam Coonrod","2023","RP","NYM","$775,000",""
"","Vinny Nittoli","2023","RP","NYM","$775,000",""
"","Tejay Antone","2023","RP","CIN","$770,000",""
"","Alejandro Kirk","2023","C","TOR","$767,300",""
"","Logan Gilbert","2023","SP","SEA","$767,300",""
"","Luis Garcia","2023","SP","HOU","$763,200",""
"","Patrick Wisdom","2023","3B","CHC","$763,000",""
"","Jeff Brigham","2023","RP","NYM","$760,000",""
"","Andrew Vaughn","2023","1B","CHW","$760,000",""
"","Jonathan India","2023","2B","CIN","$760,000",""
"","George Kirby","2023","SP","SEA","$758,300",""
"","Cal Raleigh","2023","C","SEA","$758,300",""
"","Joe Mantiply","2023","RP","ARI","$756,000",""
"","Jeremy Pena","2023","SS","HOU","$754,900",""
"","Chas McCormick","2023","CF","HOU","$752,500",""
"","Trevor Rogers","2023","SP","MIA","$752,000",""
"","Pavin Smith","2023","OF","ARI","$750,000",""
"","Dominic Leone","2023","RP","NYM","$750,000",""
"","J.P. Feyereisen","2023","RP","LAD","$750,000",""
"","Gavin Lux","2023","2B","LAD","$750,000",""
"","Keynan Middleton","2023","RP","CHW","$750,000",""
"","Kolby Allard","2023","SP","ATL","$750,000",""
"","Sam Hilliard","2023","CF","ATL","$750,000",""
"","Michael Tonkin","2023","RP","ATL","$750,000",""
"","Willie Calhoun","2023","OF","NYY","$750,000",""
"","Kyle Wright","2023","SP","ATL","$750,000",""
"","Huascar Ynoa","2023","SP","ATL","$750,000",""
"","Camilo Doval","2023","RP/CL","SF","$750,000",""
"","Colin Rea","2023","SP","MIL","$750,000",""
"","Enyel De Los Santos","2023","RP","CLE","$750,000",""
"","John Schreiber","2023","RP","BOS","$750,000",""
"","Rob Zastryzny","2023","RP","PIT","$750,000",""
"","Jose Quijada","2023","RP","LAA","$750,000",""
"","Jose Suarez","2023","SP","LAA","$750,000",""
"","Jazz Chisholm","2023","CF","MIA","$749,500",""
"","Alec Bohm","2023","1B","PHI","$748,000",""
"","Adolis Garcia","2023","RF","TEX","$747,760",""
"","Bobby Witt Jr.","2023","SS","KC","$745,750",""
"","Jonah Heim","2023","C","TEX","$745,660",""
"","Bryan Abreu","2023","RP","HOU","$745,200",""
"","David Bednar","2023","RP/CL","PIT","$745,000",""
"","Wil Crowe","2023","RP","PIT","$745,000",""
"","Adbert Alzolay","2023","RP","CHC","$744,750",""
"","Tarik Skubal","2023","SP","DET","$743,700",""
"","Mitchell White","2023","RP","TOR","$743,000",""
"","Brock Burke","2023","RP","TEX","$742,840",""
"","Dane Dunning","2023","SP","TEX","$742,840",""
"","Oswaldo Cabrera","2023","LF","NYY","$742,750",""
"","Scott Effross","2023","RP","NYY","$742,750",""
"","Dylan Carlson","2023","CF","STL","$742,400",""
"","Zach Pop","2023","RP","TOR","$742,200",""
"","Ryan Jeffers","2023","C","MIN","$741,650",""
"","Garrett Stubbs","2023","C","PHI","$741,000",""
"","Edward Olivares","2023","LF","KC","$740,750",""
"","Clarke Schmidt","2023","SP","NYY","$740,475",""
"","Eric Haase","2023","C","DET","$740,100",""
"","Justin Steele","2023","SP","CHC","$740,000",""
"","Phil Bickford","2023","RP","LAD","$740,000",""
"","Carlos Perez","2023","C","OAK","$740,000",""
"","Jake Fraley","2023","RF","CIN","$740,000",""
"","Tyler Stephenson","2023","C","CIN","$740,000",""
"","Tanner Houck","2023","SP","BOS","$740,000",""
"","Tucker Davidson","2023","RP","LAA","$740,000",""
"","Reid Detmers","2023","SP","LAA","$740,000",""
"","Chris Rodriguez","2023","SP","LAA","$740,000",""
"","Matt Thaiss","2023","C","LAA","$740,000",""
"","Ron Marinaccio","2023","RP","NYY","$739,900",""
"","Jake Woodford","2023","SP","STL","$739,800",""
"","Drew Rasmussen","2023","SP","TB","$739,700",""
"","Triston McKenzie","2023","SP","CLE","$739,500",""
"","Steven Okert","2023","RP","MIA","$739,000",""
"","William Contreras","2023","C","MIL","$739,000",""
"","Albert Abreu","2023","RP","NYY","$738,700",""
"","Geraldo Perdomo","2023","SS","ARI","$738,600",""
"","Anthony Bender","2023","RP","MIA","$738,500",""
"","Ryan Mountcastle","2023","1B","BAL","$738,400",""
"","Jesus Sanchez","2023","CF","MIA","$738,000",""
"","Cole Irvin","2023","SP","BAL","$737,600",""
"","Julian Merryweather","2023","RP","CHC","$737,000",""
"","Michael Rucker","2023","RP","CHC","$737,000",""
"","Shane McClanahan","2023","SP","TB","$737,000",""
"","Glenn Otto","2023","SP","TEX","$736,340",""
"","Bryan De La Cruz","2023","LF","MIA","$736,000",""
"","A.J. Puk","2023","RP/CL","MIA","$736,000",""
"","Alex Kirilloff","2023","1B","MIN","$735,650",""
"","Tyrone Taylor","2023","RF","MIL","$735,400",""
"","Nick Gordon","2023","SS","MIN","$735,400",""
"","Jake McCarthy","2023","RF","ARI","$735,200",""
"","Alek Thomas","2023","CF","ARI","$735,200",""
"","Gavin Sheets","2023","OF","CHW","$735,000",""
"","Luis Gonzalez","2023","CF","SF","$735,000",""
"","Connor Joe","2023","LF","PIT","$735,000",""
"","Johan Oviedo","2023","SP","PIT","$735,000",""
"","Isaac Paredes","2023","3B","TB","$735,000",""
"","Ramon Urias","2023","3B","BAL","$734,700",""
"","Zach McKinstry","2023","2B","DET","$734,500",""
"","Brandon Marsh","2023","CF","PHI","$734,500",""
"","Bryson Stott","2023","2B","PHI","$734,500",""
"","Casey Mize","2023","SP","DET","$734,200",""
"","Matt Foster","2023","RP","CHW","$734,000",""
"","Adley Rutschman","2023","C","BAL","$733,900",""
"","Josh Sborz","2023","RP","TEX","$733,450",""
"","Leodys Taveras","2023","CF","TEX","$733,445",""
"","Griffin Jax","2023","RP","MIN","$733,150",""
"","Garrett Crochet","2023","RP","CHW","$733,000",""
"","Bryse Wilson","2023","RP","MIL","$732,600",""
"","Jason Alexander","2023","SP","MIL","$732,500",""
"","Triston Casas","2023","1B","BOS","$732,500",""
"","Tyler Wells","2023","SP","BAL","$732,400",""
"","Lars Nootbaar","2023","CF","STL","$732,400",""
"","Cionel Perez","2023","RP","BAL","$732,300",""
"","Seby Zavala","2023","C","CHW","$732,000",""
"","Braxton Garrett","2023","SP","MIA","$732,000",""
"","Jake Meyers","2023","CF","HOU","$732,000",""
"","Felix Bautista","2023","RP/CL","BAL","$731,800",""
"","Jose Siri","2023","CF","TB","$731,600",""
"","Dean Kremer","2023","SP","BAL","$731,200",""
"","Keegan Akin","2023","RP","BAL","$731,100",""
"","Owen Miller","2023","SS","MIL","$731,100",""
"","Edward Cabrera","2023","SP","MIA","$731,000",""
"","Joel Payamps","2023","RP","MIL","$730,500",""
"","Carlos Hernandez","2023","RP","KC","$730,250",""
"","Daniel Lynch","2023","SP","KC","$730,250",""
"","Joe Ryan","2023","SP","MIN","$730,250",""
"","Seth Martinez","2023","RP","HOU","$730,200",""
"","Sam Hentges","2023","RP","CLE","$730,200",""
"","Jose Castillo","2023","RP","SD","$730,000",""
"","Dylan Lee","2023","RP","ATL","$730,000",""
"","Nick Fortes","2023","C","MIA","$730,000",""
"","Seth Brown","2023","LF","OAK","$730,000",""
"","James Kaprielian","2023","SP","OAK","$730,000",""
"","Alexis Diaz","2023","RP/CL","CIN","$730,000",""
"","Ian Gibaut","2023","RP","CIN","$730,000",""
"","Vladimir Gutierrez","2023","SP","CIN","$730,000",""
"","Nick Lodolo","2023","SP","CIN","$730,000",""
"","Connor Overton","2023","SP","CIN","$730,000",""
"","Tony Santillan","2023","RP","CIN","$730,000",""
"","Luis Garcia","2023","2B","WSH","$730,000",""
"","Josiah Gray","2023","SP","WSH","$730,000",""
"","Kutter Crawford","2023","RP","BOS","$730,000",""
"","Davis Daniel","2023","SP","LAA","$730,000",""
"","Jose Marte","2023","RP","LAA","$730,000",""
"","Logan O'Hoppe","2023","C","LAA","$730,000",""
"","Tommy Nance","2023","RP","MIA","$729,500",""
"","Brayan Bello","2023","SP","BOS","$729,500",""
"","Jarred Kelenic","2023","LF","SEA","$729,400",""
"","Matt Manning","2023","SP","DET","$729,200",""
"","Bryan Baker","2023","RP","BAL","$729,000",""
"","Kyle Nelson","2023","RP","ARI","$728,900",""
"","Riley Adams","2023","C","WSH","$728,800",""
"","Packy Naughton","2023","RP","STL","$728,750",""
"","Brendan Donovan","2023","2B","STL","$728,600",""
"","Andre Pallante","2023","RP","STL","$728,600",""
"","Corbin Martin","2023","RP","ARI","$728,400",""
"","Kyle Bradish","2023","SP","BAL","$728,100",""
"","Brandon Hughes","2023","RP","CHC","$728,000",""
"","Riley Greene","2023","CF","DET","$727,800",""
"","Taylor Walls","2023","SS","TB","$727,600",""
"","Kyle Isbel","2023","CF","KC","$727,500",""
"","Nick Pratto","2023","1B","KC","$727,500",""
"","Wyatt Mills","2023","RP","BOS","$727,500",""
"","Steven Kwan","2023","LF","CLE","$727,300",""
"","Matt Vierling","2023","RF","DET","$727,100",""
"","Royce Lewis","2023","SS","MIN","$727,100",""
"","Josh H. Smith","2023","SS","TEX","$727,095",""
"","Penn Murfee","2023","RP","SEA","$727,000",""
"","Eli Morgan","2023","RP","CLE","$727,000",""
"","Josh Fleming","2023","SP","TB","$727,000",""
"","Nolan Gorman","2023","3B","STL","$726,950",""
"","Nick Maton","2023","3B","DET","$726,600",""
"","MJ Melendez","2023","RF","KC","$726,500",""
"","Steven Wilson","2023","RP","SD","$726,400",""
"","Peter Strzelecki","2023","RP","MIL","$726,400",""
"","Jason Foley","2023","RP","DET","$726,200",""
"","Jovani Moran","2023","RP","MIN","$726,200",""
"","Alex Lange","2023","RP/CL","DET","$726,000",""
"","Jake Rogers","2023","C","DET","$726,000",""
"","Jose Cuas","2023","RP","KC","$726,000",""
"","Nick Sandlin","2023","RP","CLE","$726,000",""
"","Ryan McKenna","2023","CF","BAL","$725,800",""
"","Matt Brash","2023","RP","SEA","$725,800",""
"","Yunior Marte","2023","RP","PHI","$725,500",""
"","Vinnie Pasquantino","2023","1B","KC","$725,500",""
"","Garrett Cleavinger","2023","RP","TB","$725,100",""
"","Lucas Gilbreath","2023","RP","COL","$725,000",""
"","Brent Honeywell","2023","RP","SD","$725,000",""
"","Zach Jackson","2023","RP","OAK","$725,000",""
"","Dany Jimenez","2023","RP","OAK","$725,000",""
"","Sam Moll","2023","RP","OAK","$725,000",""
"","Brent Rooker","2023","LF","OAK","$725,000",""
"","Kirby Snead","2023","RP","OAK","$725,000",""
"","Hunter Brown","2023","SP","HOU","$725,000",""
"","Cristopher Sanchez","2023","RP","PHI","$725,000",""
"","Ji-Hwan Bae","2023","2B","PIT","$725,000",""
"","Rodolfo Castro","2023","SS","PIT","$725,000",""
"","Roansy Contreras","2023","SP","PIT","$725,000",""
"","Colin Holderman","2023","RP","PIT","$725,000",""
"","Max Kranick","2023","SP","PIT","$725,000",""
"","Dauri Moreta","2023","RP","PIT","$725,000",""
"","Jack Suwinski","2023","CF","PIT","$725,000",""
"","Beau Brieske","2023","SP","DET","$724,400",""
"","Mason Thompson","2023","RP","WSH","$724,400",""
"","Garrett Mitchell","2023","OF","MIL","$724,300",""
"","CJ Abrams","2023","SS","WSH","$724,200",""
"","Ezequiel Duran","2023","2B","TEX","$724,170",""
"","Huascar Brazoban","2023","RP","MIA","$724,000",""
"","Thomas Szapucki","2023","RP","SF","$723,750",""
"","David Villar","2023","3B","SF","$723,750",""
"","Kerry Carpenter","2023","LF","DET","$723,700",""
"","Drey Jameson","2023","SP","ARI","$723,600",""
"","Shane Baz","2023","SP","TB","$723,600",""
"","Joey Wentz","2023","SP","DET","$723,500",""
"","Andrew Vasquez","2023","RP","PHI","$723,500",""
"","Zack Kelly","2023","RP","BOS","$723,500",""
"","Luis Gil","2023","SP","NYY","$723,400",""
"","MacKenzie Gore","2023","SP","WSH","$723,300",""
"","Joey Meneses","2023","1B","WSH","$723,300",""
"","Gunnar Henderson","2023","SS","BAL","$723,200",""
"","Josh Lowe","2023","RF","TB","$723,200",""
"","Spencer Torkelson","2023","1B","DET","$723,100",""
"","Romy Gonzalez","2023","2B","CHW","$723,000",""
"","Andrew Nardi","2023","RP","MIA","$723,000",""
"","Michael Massey","2023","2B","KC","$722,850",""
"","Ryne Nelson","2023","SP","ARI","$722,700",""
"","Luis Campusano","2023","C","SD","$722,700",""
"","Gabriel Moreno","2023","C","ARI","$722,500",""
"","Bryce Montes de Oca","2023","RP","NYM","$722,500",""
"","Michael Grove","2023","SP","LAD","$722,500",""
"","James Outman","2023","CF","LAD","$722,500",""
"","Ryan Pepiot","2023","SP","LAD","$722,500",""
"","Miguel Vargas","2023","2B","LAD","$722,500",""
"","Graham Ashcraft","2023","SP","CIN","$722,500",""
"","T.J. Friedl","2023","LF","CIN","$722,500",""
"","Drew Waters","2023","OF","KC","$722,400",""
"","Mike Baumann","2023","RP","BAL","$722,300",""
"","Luke Raley","2023","CF","TB","$722,300",""
"","Nathan Eaton","2023","C","KC","$722,200",""
"","Jake Bird","2023","RP","COL","$722,000",""
"","Sean Bouchard","2023","1B","COL","$722,000",""
"","Ryan Feltner","2023","SP","COL","$722,000",""
"","Justin Lawrence","2023","RP","COL","$722,000",""
"","Elehuris Montero","2023","3B","COL","$722,000",""
"","Connor Seabold","2023","SP","COL","$722,000",""
"","Ezequiel Tovar","2023","SS","COL","$722,000",""
"","Kaleb Ort","2023","RP","BOS","$722,000",""
"","Josh Winckowski","2023","RP","BOS","$722,000",""
"","Connor Wong","2023","C","BOS","$722,000",""
"","Javier Assad","2023","RP","CHC","$721,500",""
"","Hayden Wesneski","2023","SP","CHC","$721,500",""
"","Max Meyer","2023","SP","MIA","$721,500",""
"","Calvin Faucher","2023","RP","TB","$721,500",""
"","Josh Jung","2023","3B","TEX","$721,485",""
"","Alec Burleson","2023","RF","STL","$721,450",""
"","Angel Zerpa","2023","SP","KC","$721,400",""
"","Akil Baddoo","2023","LF","DET","$721,300",""
"","Ronel Blanco","2023","RP","HOU","$721,200",""
"","Ethan Roberts","2023","RP","CHC","$721,000",""
"","Miles Mastrobuoni","2023","LF","CHC","$720,500",""
"","Eguy Rosario","2023","SS","SD","$720,400",""
"","Wilking Rodriguez","2023","RP","STL","$720,400",""
"","Yainer Diaz","2023","C","HOU","$720,300",""
"","Cade Cavalli","2023","SP","WSH","$720,200",""
"","Israel Pineda","2023","C","WSH","$720,200",""
"","Gabriel Arias","2023","SS","CLE","$720,100",""
"","Will Brennan","2023","RF","CLE","$720,100",""
"","Xzavion Curry","2023","RP","CLE","$720,100",""
"","Chad Wallach","2023","C","LAA","$720,000",""
"","Taj Bradley","2023","SP","TB","$720,000",""
"","Austin Warren","2023","RP","LAA","$720,000",""
"","Vidal Brujan","2023","2B","TB","$720,000",""
"","Jacob Webb","2023","RP","LAA","$720,000",""
"","Jake Diekman","2023","RP","TB","$720,000",""
"","Kevin Kelly","2023","RP","TB","$720,000",""
"","Zack Littell","2023","RP","TB","$720,000",""
"","Miguel Amaya","2023","C","CHC","$720,000",""
"","Jorge Alfaro","2023","C","COL","$720,000",""
"","Nick Burdi","2023","RP","CHC","$720,000",""
"","Chase Anderson","2023","SP","COL","$720,000",""
"","Austin Adams","2023","RP","ARI","$720,000",""
"","Matt Carasiti","2023","RP","COL","$720,000",""
"","Anthony Kay","2023","RP","CHC","$720,000",""
"","Noah Davis","2023","SP","COL","$720,000",""
"","Brenton Doyle","2023","CF","COL","$720,000",""
"","Tommy Henry","2023","SP","ARI","$720,000",""
"","Mike Tauchman","2023","CF","CHC","$720,000",""
"","Nolan Jones","2023","3B","COL","$720,000",""
"","Francisco Alvarez","2023","C","NYM","$720,000",""
"","Nelson Velazquez","2023","CF","CHC","$720,000",""
"","Brett Baty","2023","3B","NYM","$720,000",""
"","Emmanuel Rivera","2023","3B","ARI","$720,000",""
"","Karl Kauffmann","2023","SP","COL","$720,000",""
"","Grant Hartwig","2023","RP","NYM","$720,000",""
"","Coco Montes","2023","SS","COL","$720,000",""
"","Mike Moustakas","2023","3B","COL","$720,000",""
"","Edwin Uceta","2023","RP","NYM","$720,000",""
"","Austin Wynns","2023","C","COL","$720,000",""
"","Josh Walker","2023","SP","NYM","$720,000",""
"","Thomas Cosgrove","2023","RP","SD","$720,000",""
"","Brandon Dixon","2023","1B","SD","$720,000",""
"","Ray Kerr","2023","RP","SD","$720,000",""
"","Ryan Brasier","2023","RP","LAD","$720,000",""
"","Preston Tucker","2023","LF","SD","$720,000",""
"","Michael Busch","2023","2B","LAD","$720,000",""
"","Tyler Cyr","2023","RP","LAD","$720,000",""
"","Jonny DeLuca","2023","OF","LAD","$720,000",""
"","Victor Gonzalez","2023","RP","LAD","$720,000",""
"","Jason Heyward","2023","RF","LAD","$720,000",""
"","Bobby Miller","2023","SP","LAD","$720,000",""
"","Nick Robertson","2023","RP","LAD","$720,000",""
"","Emmet Sheehan","2023","SP","LAD","$720,000",""
"","Grant Anderson","2023","P","TEX","$720,000",""
"","Joe Barlow","2023","RP","TEX","$720,000",""
"","Cody Bradford","2023","SP","TEX","$720,000",""
"","Sam Huff","2023","C","TEX","$720,000",""
"","John King","2023","RP","TEX","$720,000",""
"","Tanner Banks","2023","RP","CHW","$720,000",""
"","Jake Burger","2023","3B","CHW","$720,000",""
"","Clint Frazier","2023","OF","CHW","$720,000",""
"","Zach Remillard","2023","3B","CHW","$720,000",""
"","Bryce Elder","2023","SP","ATL","$720,000",""
"","Jose Rodriguez","2023","SS","CHW","$720,000",""
"","Greg Allen","2023","OF","NYY","$720,000",""
"","Gregory Santos","2023","RP","CHW","$720,000",""
"","Jake Bauers","2023","1B","NYY","$720,000",""
"","Ben Heller","2023","RP","ATL","$720,000",""
"","Jesse Scholtens","2023","SP","CHW","$720,000",""
"","Mason Englert","2023","RP","DET","$720,000",""
"","Jhony Brito","2023","SP","NYY","$720,000",""
"","Alex Faedo","2023","SP","DET","$720,000",""
"","Jimmy Cordero","2023","RP","NYY","$720,000",""
"","Touki Toussaint","2023","RP","CHW","$720,000",""
"","Tyler Holton","2023","RP","DET","$720,000",""
"","Andy Ibanez","2023","2B","DET","$720,000",""
"","Ian Hamilton","2023","RP","NYY","$720,000",""
"","Jared Shuster","2023","SP","ATL","$720,000",""
"","AJ Smith-Shawver","2023","RP","ATL","$720,000",""
"","Reese Olson","2023","SP","DET","$720,000",""
"","Billy McKinney","2023","OF","NYY","$720,000",""
"","Chadwick Tromp","2023","C","ATL","$720,000",""
"","Freddy Pacheco","2023","RP","DET","$720,000",""
"","Patrick Bailey","2023","C","SF","$720,000",""
"","Zack Short","2023","2B","DET","$720,000",""
"","Nick Ramirez","2023","RP","NYY","$720,000",""
"","Tristan Beck","2023","RP","SF","$720,000",""
"","Isan Diaz","2023","2B","SF","$720,000",""
"","Will Vest","2023","RP","DET","$720,000",""
"","Anthony Volpe","2023","SS","NYY","$720,000",""
"","Brendan White","2023","RP","DET","$720,000",""
"","Ryan Weber","2023","RP","NYY","$720,000",""
"","Bryce Johnson","2023","CF","SF","$720,000",""
"","Luis Matos","2023","OF","SF","$720,000",""
"","Heliot Ramos","2023","OF","SF","$720,000",""
"","Blake Sabol","2023","C","SF","$720,000",""
"","Casey Schmitt","2023","3B","SF","$720,000",""
"","Ryan Walker","2023","RP","SF","$720,000",""
"","Keaton Winn","2023","SP","SF","$720,000",""
"","Jacob Amaya","2023","SS","MIA","$720,000",""
"","Archie Bradley","2023","RP","MIA","$720,000",""
"","Jonathan Davis","2023","CF","MIA","$720,000",""
"","Ernie Clement","2023","2B","TOR","$720,000",""
"","Garrett Hampson","2023","SS","MIA","$720,000",""
"","Bryan Hoeing","2023","RP","MIA","$720,000",""
"","Tyler Heineman","2023","C","TOR","$720,000",""
"","Eury Perez","2023","SP","MIA","$720,000",""
"","J.J. Bleday","2023","OF","OAK","$720,000",""
"","Nate Pearson","2023","RP","TOR","$720,000",""
"","Jonah Bride","2023","3B","OAK","$720,000",""
"","Conner Capel","2023","RF","OAK","$720,000",""
"","Lucas Erceg","2023","3B","OAK","$720,000",""
"","Hogan Harris","2023","SP","OAK","$720,000",""
"","Shea Langeliers","2023","C","OAK","$720,000",""
"","Sam Long","2023","RP","OAK","$0",""
"","Andrew Abbott","2023","SP","CIN","$720,000",""
"","Richard Lovelady","2023","RP","OAK","$720,000",""
"","Will Benson","2023","OF","CIN","$720,000",""
"","Silvino Bracho","2023","RP","CIN","$720,000",""
"","Luis Medina","2023","SP","OAK","$720,000",""
"","Alan Busenitz","2023","RP","CIN","$720,000",""
"","Mason Miller","2023","SP","OAK","$720,000",""
"","Fernando Cruz","2023","RP","CIN","$720,000",""
"","Elly De La Cruz","2023","SS","CIN","$720,000",""
"","Daniel Duarte","2023","RP","CIN","$720,000",""
"","Ryan Noda","2023","1B","OAK","$720,000",""
"","Austin Pruitt","2023","RP","OAK","$720,000",""
"","Casey Legumina","2023","SP","CIN","$720,000",""
"","Yacksel Rios","2023","RP","OAK","$720,000",""
"","Ben Lively","2023","SP","CIN","$720,000",""
"","Esteury Ruiz","2023","CF","OAK","$720,000",""
"","Yennier Cano","2023","RP","BAL","$720,000",""
"","Matt McLain","2023","SS","CIN","$720,000",""
"","JP Sears","2023","SP","OAK","$720,000",""
"","Shawn Dubin","2023","SP","HOU","$720,000",""
"","Kevin Smith","2023","SS","OAK","$720,000",""
"","Ty Adcock","2023","P","SEA","$720,000",""
"","J.P. France","2023","SP","HOU","$720,000",""
"","Jose Caballero","2023","SS","SEA","$720,000",""
"","Corey Julks","2023","CF","HOU","$720,000",""
"","Freddy Tarnok","2023","SP","OAK","$720,000",""
"","Mike Ford","2023","1B","SEA","$720,000",""
"","Aaron Hicks","2023","CF","BAL","$720,000",""
"","Reiver Sanmartin","2023","RP","CIN","$720,000",""
"","Grae Kessinger","2023","SS","HOU","$720,000",""
"","Tyler Wade","2023","SS","OAK","$720,000",""
"","Spencer Steer","2023","3B","CIN","$720,000",""
"","Bligh Madris","2023","OF","HOU","$720,000",""
"","Ken Waldichuk","2023","SP","OAK","$720,000",""
"","Easton McGee","2023","SP","SEA","$720,000",""
"","Joseph Ortiz","2023","SS","BAL","$720,000",""
"","Bryce Miller","2023","SP","SEA","$720,000",""
"","Brandon Williamson","2023","SP","CIN","$720,000",""
"","Tayler Saucedo","2023","RP","SEA","$720,000",""
"","Gabe Speier","2023","RP","SEA","$720,000",""
"","Bruce Zimmermann","2023","SP","BAL","$720,000",""
"","Justin Topa","2023","RP","SEA","$720,000",""
"","Bryan Woo","2023","P","SEA","$720,000",""
"","Cory Abbott","2023","SP","WSH","$720,000",""
"","Stone Garrett","2023","LF","WSH","$720,000",""
"","Derek Hill","2023","OF","WSH","$720,000",""
"","Jake Irvin","2023","SP","WSH","$720,000",""
"","Joe LaSorsa","2023","RP","WSH","$720,000",""
"","Andruw Monasterio","2023","SS","MIL","$720,000",""
"","Thad Ward","2023","RP","WSH","$720,000",""
"","Elvis Peguero","2023","RP","MIL","$720,000",""
"","Jordan Weems","2023","RP","WSH","$720,000",""
"","Blake Perkins","2023","RF","MIL","$720,000",""
"","Darin Ruf","2023","1B","MIL","$720,000",""
"","Bennett Sousa","2023","RP","MIL","$720,000",""
"","Raimel Tapia","2023","LF","MIL","$720,000",""
"","Joey Wiemer","2023","CF","MIL","$720,000",""
"","Kody Clemens","2023","2B","PHI","$720,000",""
"","Matt Beaty","2023","3B","KC","$720,000",""
"","Dylan Covey","2023","RP","PHI","$720,000",""
"","Dairon Blanco","2023","OF","KC","$720,000",""
"","Austin Cox","2023","RP","KC","$720,000",""
"","Freddy Fermin","2023","C","KC","$720,000",""
"","Cristian Pache","2023","CF","PHI","$720,000",""
"","Maikel Garcia","2023","SS","KC","$720,000",""
"","Noah Song","2023","P","PHI","$720,000",""
"","Diego Hernandez","2023","OF","KC","$720,000",""
"","Jackson Kowar","2023","SP","KC","$720,000",""
"","Brooks Kriske","2023","P","KC","$720,000",""
"","Matthew Liberatore","2023","SP","STL","$720,000",""
"","Logan Allen","2023","SP","CLE","$720,000",""
"","Oscar Mercado","2023","OF","STL","$720,000",""
"","Peyton Battenfield","2023","RP","CLE","$720,000",""
"","Samad Taylor","2023","SS","KC","$720,000",""
"","Tanner Bibee","2023","SP","CLE","$720,000",""
